,subj_idx,response,split_by,rt,trial,feedback,samp,type
57304,2,1.0,0,0.355,93,1.0,0,observed
57305,2,1.0,1,0.603,93,0.0,0,observed
57306,2,1.0,0,0.377,94,0.0,0,observed
57307,2,0.0,1,0.467,94,1.0,0,observed
57308,2,0.0,0,1.918,95,0.0,0,observed
57309,2,0.0,1,0.387,95,0.0,0,observed
57310,2,0.0,0,1.491,96,0.0,0,observed
57311,2,0.0,1,0.429,96,0.0,0,observed
57312,2,1.0,0,0.428,97,0.0,0,observed
57313,2,0.0,1,0.379,97,0.0,0,observed
57314,2,1.0,0,0.441,98,1.0,0,observed
57315,2,0.0,1,0.592,98,1.0,0,observed
57316,2,1.0,0,1.553,99,0.0,0,observed
57317,2,1.0,1,0.416,99,1.0,0,observed
57318,2,0.0,0,1.804,100,0.0,0,observed
57319,2,1.0,1,0.679,100,0.0,0,observed
57320,2,0.0,0,0.696,101,1.0,0,observed
57321,2,0.0,1,0.916,101,1.0,0,observed
57322,2,1.0,0,0.221,102,0.0,0,observed
57323,2,0.0,1,1.038,102,0.0,0,observed
57324,2,0.0,0,0.329,103,1.0,0,observed
57325,2,0.0,1,0.381,103,0.0,0,observed
57326,2,1.0,0,1.266,104,1.0,0,observed
57327,2,0.0,1,0.916,104,0.0,0,observed
57328,2,1.0,0,0.566,105,1.0,0,observed
57329,2,1.0,1,1.966,105,0.0,0,observed
57330,2,1.0,0,0.378,106,1.0,0,observed
57331,2,0.0,1,0.492,106,0.0,0,observed
57332,2,1.0,0,1.44,107,0.0,0,observed
57333,2,1.0,1,1.179,107,1.0,0,observed
